nohup: ignoring input
Device: cuda
=== Loading dataset ===
  Dish-level split: 3654 train dishes, 405 val dishes
  Loaded 9409 samples from 3654 dish IDs (2483 overhead, 6926 side-angle frames, 3654 dishes, 5006 in metadata)
  Loaded 5853 samples from 405 dish IDs (272 overhead, 5581 side-angle frames, 405 dishes, 5006 in metadata)
  Label means (normalization): calories: 227.6, mass: 198.3, fat: 11.3, carbs: 17.9, protein: 15.9
  Train: 9409 samples | Val: 5853 samples

=== Building model ===
  Parameters: 130,886,629 (109,101,061 trainable, backbone frozen for 5 epochs)

  Model summary saved to ./checkpoints/model_summary.txt
=== Training ===

  Epoch   1/100 | Batch 203/295 ( 68.8%) | Running MAE: 4127.03
  Epoch   1/100 | Batch 204/295 ( 69.2%) | Running MAE: 4107.06
  Epoch   1/100 | Batch 205/295 ( 69.5%) | Running MAE: 4087.28
  Epoch   1/100 | Batch 206/295 ( 69.8%) | Running MAE: 4067.79
  Epoch   1/100 | Batch 207/295 ( 70.2%) | Running MAE: 4048.49
  Epoch   1/100 | Batch 208/295 ( 70.5%) | Running MAE: 4029.47
  Epoch   1/100 | Batch 209/295 ( 70.8%) | Running MAE: 4010.48
  Epoch   1/100 | Batch 210/295 ( 71.2%) | Running MAE: 3991.65
  Epoch   1/100 | Batch 211/295 ( 71.5%) | Running MAE: 3973.00
  Epoch   1/100 | Batch 212/295 ( 71.9%) | Running MAE: 3954.49
  Epoch   1/100 | Batch 213/295 ( 72.2%) | Running MAE: 3936.17
  Epoch   1/100 | Batch 214/295 ( 72.5%) | Running MAE: 3918.00
  Epoch   1/100 | Batch 215/295 ( 72.9%) | Running MAE: 3900.00
  Epoch   1/100 | Batch 216/295 ( 73.2%) | Running MAE: 3882.14
  Epoch   1/100 | Batch 217/295 ( 73.6%) | Running MAE: 3864.51
  Epoch   1/100 | Batch 218/295 ( 73.9%) | Running MAE: 3847.01
  Epoch   1/100 | Batch 219/295 ( 74.2%) | Running MAE: 3829.71
  Epoch   1/100 | Batch 220/295 ( 74.6%) | Running MAE: 3812.55
  Epoch   1/100 | Batch 221/295 ( 74.9%) | Running MAE: 3795.47
  Epoch   1/100 | Batch 222/295 ( 75.3%) | Running MAE: 3778.72
  Epoch   1/100 | Batch 223/295 ( 75.6%) | Running MAE: 3762.03
  Epoch   1/100 | Batch 224/295 ( 75.9%) | Running MAE: 3745.45
  Epoch   1/100 | Batch 225/295 ( 76.3%) | Running MAE: 3729.07
  Epoch   1/100 | Batch 226/295 ( 76.6%) | Running MAE: 3712.79
  Epoch   1/100 | Batch 227/295 ( 76.9%) | Running MAE: 3696.73
  Epoch   1/100 | Batch 228/295 ( 77.3%) | Running MAE: 3680.73
  Epoch   1/100 | Batch 229/295 ( 77.6%) | Running MAE: 3665.12
  Epoch   1/100 | Batch 230/295 ( 78.0%) | Running MAE: 3649.44
  Epoch   1/100 | Batch 231/295 ( 78.3%) | Running MAE: 3633.94
  Epoch   1/100 | Batch 232/295 ( 78.6%) | Running MAE: 3618.77
  Epoch   1/100 | Batch 233/295 ( 79.0%) | Running MAE: 3603.45
  Epoch   1/100 | Batch 234/295 ( 79.3%) | Running MAE: 3588.21
  Epoch   1/100 | Batch 235/295 ( 79.7%) | Running MAE: 3573.15
  Epoch   1/100 | Batch 236/295 ( 80.0%) | Running MAE: 3558.33
  Epoch   1/100 | Batch 237/295 ( 80.3%) | Running MAE: 3543.52
  Epoch   1/100 | Batch 238/295 ( 80.7%) | Running MAE: 3528.84
  Epoch   1/100 | Batch 239/295 ( 81.0%) | Running MAE: 3514.38
  Epoch   1/100 | Batch 240/295 ( 81.4%) | Running MAE: 3500.17
  Epoch   1/100 | Batch 241/295 ( 81.7%) | Running MAE: 3486.11
  Epoch   1/100 | Batch 242/295 ( 82.0%) | Running MAE: 3471.91
  Epoch   1/100 | Batch 243/295 ( 82.4%) | Running MAE: 3458.13
  Epoch   1/100 | Batch 244/295 ( 82.7%) | Running MAE: 3444.10
  Epoch   1/100 | Batch 245/295 ( 83.1%) | Running MAE: 3430.29
  Epoch   1/100 | Batch 246/295 ( 83.4%) | Running MAE: 3416.62
