nohup: ignoring input
Device: cuda
=== Loading dataset ===
  Dish-level split: 3654 train dishes, 405 val dishes
  Loaded 9409 samples from 3654 dish IDs (2483 overhead, 6926 side-angle frames, 3654 dishes, 5006 in metadata)
  Loaded 5853 samples from 405 dish IDs (272 overhead, 5581 side-angle frames, 405 dishes, 5006 in metadata)
  Label means (normalization): calories: 227.6, mass: 198.3, fat: 11.3, carbs: 17.9, protein: 15.9
  Train: 9409 samples | Val: 5853 samples

=== Building model ===
  Parameters: 65,860,585 (44,075,017 trainable, backbone frozen for 5 epochs)

  Model summary saved to ./checkpoints/model_summary.txt
=== Training ===

  Epoch   1/100 | Batch 158/295 ( 53.6%) | Running MAE: 960.70
  Epoch   1/100 | Batch 159/295 ( 53.9%) | Running MAE: 955.12
  Epoch   1/100 | Batch 160/295 ( 54.2%) | Running MAE: 949.58
  Epoch   1/100 | Batch 161/295 ( 54.6%) | Running MAE: 944.24
  Epoch   1/100 | Batch 162/295 ( 54.9%) | Running MAE: 938.80
  Epoch   1/100 | Batch 163/295 ( 55.3%) | Running MAE: 933.42
  Epoch   1/100 | Batch 164/295 ( 55.6%) | Running MAE: 927.98
  Epoch   1/100 | Batch 165/295 ( 55.9%) | Running MAE: 922.67
  Epoch   1/100 | Batch 166/295 ( 56.3%) | Running MAE: 917.44
  Epoch   1/100 | Batch 167/295 ( 56.6%) | Running MAE: 912.33
  Epoch   1/100 | Batch 168/295 ( 56.9%) | Running MAE: 907.19
  Epoch   1/100 | Batch 169/295 ( 57.3%) | Running MAE: 902.22
  Epoch   1/100 | Batch 170/295 ( 57.6%) | Running MAE: 897.29
  Epoch   1/100 | Batch 171/295 ( 58.0%) | Running MAE: 892.34
  Epoch   1/100 | Batch 172/295 ( 58.3%) | Running MAE: 887.39
  Epoch   1/100 | Batch 173/295 ( 58.6%) | Running MAE: 882.51
  Epoch   1/100 | Batch 174/295 ( 59.0%) | Running MAE: 877.71
  Epoch   1/100 | Batch 175/295 ( 59.3%) | Running MAE: 873.05
  Epoch   1/100 | Batch 176/295 ( 59.7%) | Running MAE: 868.43
  Epoch   1/100 | Batch 177/295 ( 60.0%) | Running MAE: 863.81
  Epoch   1/100 | Batch 178/295 ( 60.3%) | Running MAE: 859.32
  Epoch   1/100 | Batch 179/295 ( 60.7%) | Running MAE: 854.91
  Epoch   1/100 | Batch 180/295 ( 61.0%) | Running MAE: 850.53
  Epoch   1/100 | Batch 181/295 ( 61.4%) | Running MAE: 846.11
  Epoch   1/100 | Batch 182/295 ( 61.7%) | Running MAE: 841.82
  Epoch   1/100 | Batch 183/295 ( 62.0%) | Running MAE: 837.62
  Epoch   1/100 | Batch 184/295 ( 62.4%) | Running MAE: 833.25
  Epoch   1/100 | Batch 185/295 ( 62.7%) | Running MAE: 829.09
  Epoch   1/100 | Batch 186/295 ( 63.1%) | Running MAE: 824.98
  Epoch   1/100 | Batch 187/295 ( 63.4%) | Running MAE: 820.83
  Epoch   1/100 | Batch 188/295 ( 63.7%) | Running MAE: 816.74
  Epoch   1/100 | Batch 189/295 ( 64.1%) | Running MAE: 812.65
  Epoch   1/100 | Batch 190/295 ( 64.4%) | Running MAE: 808.61
  Epoch   1/100 | Batch 191/295 ( 64.7%) | Running MAE: 804.65
  Epoch   1/100 | Batch 192/295 ( 65.1%) | Running MAE: 800.75
  Epoch   1/100 | Batch 193/295 ( 65.4%) | Running MAE: 796.94
  Epoch   1/100 | Batch 194/295 ( 65.8%) | Running MAE: 793.13
  Epoch   1/100 | Batch 195/295 ( 66.1%) | Running MAE: 789.32
  Epoch   1/100 | Batch 196/295 ( 66.4%) | Running MAE: 785.69
  Epoch   1/100 | Batch 197/295 ( 66.8%) | Running MAE: 781.96
  Epoch   1/100 | Batch 198/295 ( 67.1%) | Running MAE: 778.20
  Epoch   1/100 | Batch 199/295 ( 67.5%) | Running MAE: 774.57
  Epoch   1/100 | Batch 200/295 ( 67.8%) | Running MAE: 770.95
  Epoch   1/100 | Batch 201/295 ( 68.1%) | Running MAE: 767.38
  Epoch   1/100 | Batch 202/295 ( 68.5%) | Running MAE: 764.14
  Epoch   1/100 | Batch 203/295 ( 68.8%) | Running MAE: 760.65
  Epoch   1/100 | Batch 204/295 ( 69.2%) | Running MAE: 757.12
  Epoch   1/100 | Batch 205/295 ( 69.5%) | Running MAE: 753.70
  Epoch   1/100 | Batch 206/295 ( 69.8%) | Running MAE: 750.24
  Epoch   1/100 | Batch 207/295 ( 70.2%) | Running MAE: 746.87
  Epoch   1/100 | Batch 208/295 ( 70.5%) | Running MAE: 743.49
  Epoch   1/100 | Batch 209/295 ( 70.8%) | Running MAE: 740.19
  Epoch   1/100 | Batch 210/295 ( 71.2%) | Running MAE: 736.97
  Epoch   1/100 | Batch 211/295 ( 71.5%) | Running MAE: 733.68
  Epoch   1/100 | Batch 212/295 ( 71.9%) | Running MAE: 730.48
  Epoch   1/100 | Batch 213/295 ( 72.2%) | Running MAE: 727.41
  Epoch   1/100 | Batch 214/295 ( 72.5%) | Running MAE: 724.18
  Epoch   1/100 | Batch 215/295 ( 72.9%) | Running MAE: 721.00
  Epoch   1/100 | Batch 216/295 ( 73.2%) | Running MAE: 717.98
  Epoch   1/100 | Batch 217/295 ( 73.6%) | Running MAE: 714.92
  Epoch   1/100 | Batch 218/295 ( 73.9%) | Running MAE: 711.80
  Epoch   1/100 | Batch 219/295 ( 74.2%) | Running MAE: 708.83
  Epoch   1/100 | Batch 220/295 ( 74.6%) | Running MAE: 705.82
  Epoch   1/100 | Batch 221/295 ( 74.9%) | Running MAE: 702.86
  Epoch   1/100 | Batch 222/295 ( 75.3%) | Running MAE: 699.92
  Epoch   1/100 | Batch 223/295 ( 75.6%) | Running MAE: 697.07
  Epoch   1/100 | Batch 224/295 ( 75.9%) | Running MAE: 694.18
  Epoch   1/100 | Batch 225/295 ( 76.3%) | Running MAE: 691.38
  Epoch   1/100 | Batch 226/295 ( 76.6%) | Running MAE: 688.62
  Epoch   1/100 | Batch 227/295 ( 76.9%) | Running MAE: 685.79
  Epoch   1/100 | Batch 228/295 ( 77.3%) | Running MAE: 682.96
  Epoch   1/100 | Batch 229/295 ( 77.6%) | Running MAE: 680.15
  Epoch   1/100 | Batch 230/295 ( 78.0%) | Running MAE: 677.42
  Epoch   1/100 | Batch 231/295 ( 78.3%) | Running MAE: 674.69
  Epoch   1/100 | Batch 232/295 ( 78.6%) | Running MAE: 671.96
  Epoch   1/100 | Batch 233/295 ( 79.0%) | Running MAE: 669.28
  Epoch   1/100 | Batch 234/295 ( 79.3%) | Running MAE: 666.71
  Epoch   1/100 | Batch 235/295 ( 79.7%) | Running MAE: 664.12
  Epoch   1/100 | Batch 236/295 ( 80.0%) | Running MAE: 661.84
  Epoch   1/100 | Batch 237/295 ( 80.3%) | Running MAE: 659.23
  Epoch   1/100 | Batch 238/295 ( 80.7%) | Running MAE: 656.70
  Epoch   1/100 | Batch 239/295 ( 81.0%) | Running MAE: 654.18
  Epoch   1/100 | Batch 240/295 ( 81.4%) | Running MAE: 651.67
  Epoch   1/100 | Batch 241/295 ( 81.7%) | Running MAE: 649.25
  Epoch   1/100 | Batch 242/295 ( 82.0%) | Running MAE: 646.83
  Epoch   1/100 | Batch 243/295 ( 82.4%) | Running MAE: 644.39
  Epoch   1/100 | Batch 244/295 ( 82.7%) | Running MAE: 641.98
  Epoch   1/100 | Batch 245/295 ( 83.1%) | Running MAE: 639.65
  Epoch   1/100 | Batch 246/295 ( 83.4%) | Running MAE: 637.37
  Epoch   1/100 | Batch 247/295 ( 83.7%) | Running MAE: 635.12
  Epoch   1/100 | Batch 248/295 ( 84.1%) | Running MAE: 632.81
  Epoch   1/100 | Batch 249/295 ( 84.4%) | Running MAE: 630.44
  Epoch   1/100 | Batch 250/295 ( 84.7%) | Running MAE: 628.18
  Epoch   1/100 | Batch 251/295 ( 85.1%) | Running MAE: 625.97
  Epoch   1/100 | Batch 252/295 ( 85.4%) | Running MAE: 623.80
  Epoch   1/100 | Batch 253/295 ( 85.8%) | Running MAE: 621.50
  Epoch   1/100 | Batch 254/295 ( 86.1%) | Running MAE: 619.24
  Epoch   1/100 | Batch 255/295 ( 86.4%) | Running MAE: 617.02
  Epoch   1/100 | Batch 256/295 ( 86.8%) | Running MAE: 614.76
  Epoch   1/100 | Batch 257/295 ( 87.1%) | Running MAE: 612.53
  Epoch   1/100 | Batch 258/295 ( 87.5%) | Running MAE: 610.41
  Epoch   1/100 | Batch 259/295 ( 87.8%) | Running MAE: 608.29
  Epoch   1/100 | Batch 260/295 ( 88.1%) | Running MAE: 606.15
  Epoch   1/100 | Batch 261/295 ( 88.5%) | Running MAE: 604.04
  Epoch   1/100 | Batch 262/295 ( 88.8%) | Running MAE: 601.95
  Epoch   1/100 | Batch 263/295 ( 89.2%) | Running MAE: 599.86
  Epoch   1/100 | Batch 264/295 ( 89.5%) | Running MAE: 597.83
  Epoch   1/100 | Batch 265/295 ( 89.8%) | Running MAE: 596.00
  Epoch   1/100 | Batch 266/295 ( 90.2%) | Running MAE: 593.94
  Epoch   1/100 | Batch 267/295 ( 90.5%) | Running MAE: 591.95
  Epoch   1/100 | Batch 268/295 ( 90.8%) | Running MAE: 589.91
  Epoch   1/100 | Batch 269/295 ( 91.2%) | Running MAE: 587.90
  Epoch   1/100 | Batch 270/295 ( 91.5%) | Running MAE: 585.95
  Epoch   1/100 | Batch 271/295 ( 91.9%) | Running MAE: 584.06
  Epoch   1/100 | Batch 272/295 ( 92.2%) | Running MAE: 582.12
  Epoch   1/100 | Batch 273/295 ( 92.5%) | Running MAE: 580.17
  Epoch   1/100 | Batch 274/295 ( 92.9%) | Running MAE: 578.25
  Epoch   1/100 | Batch 275/295 ( 93.2%) | Running MAE: 576.27
  Epoch   1/100 | Batch 276/295 ( 93.6%) | Running MAE: 574.51
  Epoch   1/100 | Batch 277/295 ( 93.9%) | Running MAE: 572.62
  Epoch   1/100 | Batch 278/295 ( 94.2%) | Running MAE: 570.73
  Epoch   1/100 | Batch 279/295 ( 94.6%) | Running MAE: 568.87
  Epoch   1/100 | Batch 280/295 ( 94.9%) | Running MAE: 567.00
  Epoch   1/100 | Batch 281/295 ( 95.3%) | Running MAE: 565.16
  Epoch   1/100 | Batch 282/295 ( 95.6%) | Running MAE: 563.36
  Epoch   1/100 | Batch 283/295 ( 95.9%) | Running MAE: 561.59
  Epoch   1/100 | Batch 284/295 ( 96.3%) | Running MAE: 559.78
  Epoch   1/100 | Batch 285/295 ( 96.6%) | Running MAE: 558.05
  Epoch   1/100 | Batch 286/295 ( 96.9%) | Running MAE: 556.31
  Epoch   1/100 | Batch 287/295 ( 97.3%) | Running MAE: 554.54
  Epoch   1/100 | Batch 288/295 ( 97.6%) | Running MAE: 552.83
  Epoch   1/100 | Batch 289/295 ( 98.0%) | Running MAE: 551.11
  Epoch   1/100 | Batch 290/295 ( 98.3%) | Running MAE: 549.37
  Epoch   1/100 | Batch 291/295 ( 98.6%) | Running MAE: 547.71
  Epoch   1/100 | Batch 292/295 ( 99.0%) | Running MAE: 545.97
  Epoch   1/100 | Batch 293/295 ( 99.3%) | Running MAE: 544.25
  Epoch   1/100 | Batch 294/295 ( 99.7%) | Running MAE: 542.55
  Epoch   1/100 | Batch 295/295 (100.0%) | Running MAE: 541.36
  ─── Epoch 1/100 ────────────────────────────────────
    Train  ─  MAE:  541.36  |  norm loss: 5.594
    Val    ─  MAE:   49.04  |  norm loss: 0.611
    Val MAE%:  calories: 64.5%  mass: 61.7%  fat: 84.3%  carbs: 77.3%  protein: 80.1%
    LR: 0.001000  |  Time: 52.4s
    > Saved best model (val MAE: 49.04)

  Epoch   2/100 | Batch 1/295 (  0.3%) | Running MAE: 73.64
  Epoch   2/100 | Batch 2/295 (  0.7%) | Running MAE: 65.27
  Epoch   2/100 | Batch 3/295 (  1.0%) | Running MAE: 59.03
  Epoch   2/100 | Batch 4/295 (  1.4%) | Running MAE: 55.09
  Epoch   2/100 | Batch 5/295 (  1.7%) | Running MAE: 54.85
